ID,Modalitat,Colla_ID,Prioritat,anys_sense_captura,adjudicats,nova_prioritat,nou_anys_sense_captura
1,A,Colla_1,2,1,1,4,0
2,A,Colla_1,4,0,0,2,1
3,A,Colla_1,4,0,0,2,1
4,A,Colla_1,2,1,1,4,0
5,A,Colla_1,4,0,0,2,1
6,A,Colla_1,2,1,0,2,2
7,A,Colla_1,4,0,0,2,1
8,A,Colla_1,4,0,0,2,1
9,A,Colla_1,2,1,1,4,0
10,A,Colla_1,2,1,1,4,0
11,A,Colla_1,2,1,1,4,0
12,A,Colla_1,2,1,0,2,2
13,A,Colla_1,2,1,0,2,2
14,A,Colla_1,2,1,0,2,2
15,A,Colla_1,4,0,0,2,1
16,A,Colla_1,2,1,1,4,0
17,A,Colla_1,4,0,0,2,1
18,A,Colla_1,2,1,1,4,0
19,A,Colla_1,4,0,0,2,1
20,A,Colla_1,2,1,1,4,0
21,A,Colla_2,2,1,1,4,0
22,A,Colla_2,2,1,1,4,0
23,A,Colla_2,2,1,1,4,0
24,A,Colla_2,2,1,0,2,2
25,A,Colla_2,2,1,1,4,0
26,A,Colla_2,4,0,0,2,1
27,A,Colla_2,2,1,0,2,2
28,A,Colla_2,2,1,1,4,0
29,A,Colla_2,4,0,0,2,1
30,A,Colla_2,4,0,0,2,1
31,A,Colla_2,4,0,0,2,1
32,A,Colla_2,2,1,1,4,0
33,A,Colla_2,4,0,0,2,1
34,A,Colla_2,2,1,1,4,0
35,A,Colla_2,2,1,0,2,2
36,A,Colla_2,4,0,0,2,1
37,A,Colla_2,2,1,1,4,0
38,A,Colla_2,4,0,0,2,1
39,A,Colla_2,4,0,0,2,1
40,A,Colla_2,2,1,0,2,2
41,A,Colla_3,2,1,0,2,2
42,A,Colla_3,4,0,0,2,1
43,A,Colla_3,2,1,1,4,0
44,A,Colla_3,4,0,0,2,1
45,A,Colla_3,2,1,0,2,2
46,A,Colla_3,2,1,0,2,2
47,A,Colla_3,2,1,1,4,0
48,A,Colla_3,2,1,1,4,0
49,A,Colla_3,2,1,1,4,0
50,A,Colla_3,4,0,0,2,1
51,A,Colla_3,2,1,0,2,2
52,A,Colla_3,4,0,0,2,1
53,A,Colla_3,4,0,0,2,1
54,A,Colla_3,2,1,1,4,0
55,A,Colla_3,4,0,0,2,1
56,A,Colla_3,4,0,0,2,1
