ID,Modalitat,Colla_ID,Prioritat,anys_sense_captura,adjudicats,nova_prioritat,nou_anys_sense_captura
1,A,Colla_1,4,0,0,2,1
2,A,Colla_1,2,1,0,2,2
3,A,Colla_1,2,1,0,2,2
4,A,Colla_1,4,0,0,2,1
5,A,Colla_1,2,1,0,2,2
6,A,Colla_1,2,2,1,4,0
7,A,Colla_1,2,1,1,4,0
8,A,Colla_1,2,1,0,2,2
9,A,Colla_1,4,0,0,2,1
10,A,Colla_1,4,0,0,2,1
11,A,Colla_1,4,0,0,2,1
12,A,Colla_1,2,2,1,4,0
13,A,Colla_1,2,2,1,4,0
14,A,Colla_1,2,2,1,4,0
15,A,Colla_1,2,1,1,4,0
16,A,Colla_1,4,0,0,2,1
17,A,Colla_1,2,1,1,4,0
18,A,Colla_1,4,0,0,2,1
19,A,Colla_1,2,1,1,4,0
20,A,Colla_1,4,0,0,2,1
21,A,Colla_2,4,0,0,2,1
22,A,Colla_2,4,0,0,2,1
23,A,Colla_2,4,0,0,2,1
24,A,Colla_2,2,2,1,4,0
25,A,Colla_2,4,0,0,2,1
26,A,Colla_2,2,1,1,4,0
27,A,Colla_2,2,2,1,4,0
28,A,Colla_2,4,0,0,2,1
29,A,Colla_2,2,1,0,2,2
30,A,Colla_2,2,1,1,4,0
31,A,Colla_2,2,1,0,2,2
32,A,Colla_2,4,0,0,2,1
33,A,Colla_2,2,1,0,2,2
34,A,Colla_2,4,0,0,2,1
35,A,Colla_2,2,2,1,4,0
36,A,Colla_2,2,1,0,2,2
37,A,Colla_2,4,0,0,2,1
38,A,Colla_2,2,1,1,4,0
39,A,Colla_2,2,1,1,4,0
40,A,Colla_2,2,2,1,4,0
41,A,Colla_3,2,2,1,4,0
42,A,Colla_3,2,1,0,2,2
43,A,Colla_3,4,0,0,2,1
44,A,Colla_3,2,1,0,2,2
45,A,Colla_3,2,2,1,4,0
46,A,Colla_3,2,2,1,4,0
47,A,Colla_3,4,0,0,2,1
48,A,Colla_3,4,0,0,2,1
49,A,Colla_3,4,0,0,2,1
50,A,Colla_3,2,1,1,4,0
51,A,Colla_3,2,2,1,4,0
52,A,Colla_3,2,1,1,4,0
53,A,Colla_3,2,1,1,4,0
54,A,Colla_3,4,0,0,2,1
55,A,Colla_3,2,1,1,4,0
56,A,Colla_3,2,1,0,2,2
57,A,Colla_3,4,0,0,2,1
58,A,Colla_3,4,0,0,2,1
59,A,Colla_3,4,0,0,2,1
60,A,Colla_3,2,1,0,2,2
61,A,Colla_4,2,2,1,4,0
62,A,Colla_4,2,1,0,2,2
63,A,Colla_4,2,1,0,2,2
64,A,Colla_4,2,2,1,4,0
65,A,Colla_4,4,0,0,2,1
66,A,Colla_4,2,2,1,4,0
67,A,Colla_4,4,0,0,2,1
68,A,Colla_4,4,0,0,2,1
69,A,Colla_4,2,1,1,4,0
70,A,Colla_4,4,0,0,2,1
71,A,Colla_4,2,2,1,4,0
72,A,Colla_4,2,1,1,4,0
73,A,Colla_4,4,0,0,2,1
74,A,Colla_4,2,1,1,4,0
75,A,Colla_4,4,0,0,2,1
76,A,Colla_4,2,1,0,2,2
77,A,Colla_4,4,0,0,2,1
78,A,Colla_4,2,1,1,4,0
79,A,Colla_4,2,1,0,2,2
80,A,Colla_4,4,0,0,2,1
81,A,Colla_5,2,1,1,4,0
82,A,Colla_5,2,1,0,2,2
83,A,Colla_5,4,0,0,2,1
84,A,Colla_5,2,2,1,4,0
85,A,Colla_5,2,1,0,2,2
86,A,Colla_5,2,2,1,4,0
87,A,Colla_5,4,0,0,2,1
88,A,Colla_5,4,0,0,2,1
89,A,Colla_5,2,2,1,4,0
90,A,Colla_5,2,2,1,4,0
91,A,Colla_5,2,1,1,4,0
92,A,Colla_5,2,1,0,2,2
93,A,Colla_5,2,1,0,2,2
94,A,Colla_5,4,0,0,2,1
95,A,Colla_5,2,1,1,4,0
96,A,Colla_5,2,1,1,4,0
97,A,Colla_5,4,0,0,2,1
98,A,Colla_5,4,0,0,2,1
99,A,Colla_5,4,0,0,2,1
100,A,Colla_5,4,0,0,2,1
101,A,Colla_6,4,0,0,2,1
102,A,Colla_6,2,1,1,4,0
103,A,Colla_6,2,2,1,4,0
104,A,Colla_6,4,0,0,2,1
105,A,Colla_6,2,1,0,2,2
106,A,Colla_6,4,0,0,2,1
107,A,Colla_6,2,1,0,2,2
108,A,Colla_6,4,0,0,2,1
109,A,Colla_6,4,0,0,2,1
110,A,Colla_6,4,0,0,2,1
111,A,Colla_6,2,2,1,4,0
112,A,Colla_6,2,2,1,4,0
113,A,Colla_6,4,0,0,2,1
114,A,Colla_6,2,1,1,4,0
115,A,TrackedColla_3_1,4,0,1,4,0
116,A,Colla_6,2,2,1,4,0
117,A,Colla_6,2,1,0,2,2
118,A,Colla_6,2,1,1,4,0
119,A,Colla_6,4,0,0,2,1
120,A,Colla_6,2,1,1,4,0
121,A,Colla_7,4,0,0,2,1
122,A,Colla_7,2,1,0,2,2
123,A,Colla_7,4,0,0,2,1
124,A,Colla_7,2,1,1,4,0
125,A,Colla_7,2,2,1,4,0
126,A,Colla_7,4,0,0,2,1
127,A,Colla_7,4,0,0,2,1
128,A,Colla_7,2,2,1,4,0
129,A,Colla_7,4,0,0,2,1
130,A,Colla_7,2,2,1,4,0
131,A,Colla_7,2,1,0,2,2
132,A,Colla_7,2,1,1,4,0
133,A,Colla_7,2,1,1,4,0
134,A,Colla_7,2,1,0,2,2
135,A,Colla_7,4,0,0,2,1
136,A,Colla_7,4,0,0,2,1
137,A,Colla_7,2,1,1,4,0
138,A,Colla_7,2,1,0,2,2
139,A,Colla_7,2,2,1,4,0
140,A,Colla_7,4,0,0,2,1
141,A,Colla_8,4,0,0,2,1
142,A,Colla_8,2,2,1,4,0
143,A,Colla_8,2,1,1,4,0
144,A,Colla_8,2,1,0,2,2
145,A,Colla_8,2,1,1,4,0
146,A,Colla_8,2,2,1,4,0
147,A,Colla_8,2,2,1,4,0
148,A,Colla_8,4,0,0,2,1
149,A,Colla_8,4,0,0,2,1
150,A,Colla_8,2,1,1,4,0
151,A,Colla_8,2,1,0,2,2
152,A,Colla_8,4,0,0,2,1
153,A,Colla_8,4,0,0,2,1
154,A,Colla_8,4,0,0,2,1
155,A,Colla_8,2,1,0,2,2
156,A,Colla_8,2,2,1,4,0
157,A,Colla_8,2,1,1,4,0
158,A,Colla_8,4,0,0,2,1
159,A,Colla_8,4,0,0,2,1
160,A,TrackedColla_2_1,2,1,0,2,2
161,A,Colla_9,2,2,1,4,0
162,A,Colla_9,4,0,0,2,1
163,A,Colla_9,2,1,0,2,2
164,A,Colla_9,4,0,0,2,1
165,A,Colla_9,4,0,0,2,1
166,A,Colla_9,2,1,1,4,0
167,A,Colla_9,2,1,0,2,2
168,A,Colla_9,4,0,0,2,1
169,A,Colla_9,4,0,0,2,1
170,A,Colla_9,4,0,0,2,1
171,A,Colla_9,2,1,1,4,0
172,A,Colla_9,2,2,1,4,0
173,A,TrackedColla_2_1,2,1,1,4,0
174,A,Colla_9,2,1,1,4,0
175,A,Colla_9,2,1,0,2,2
176,A,Colla_9,4,0,0,2,1
177,A,Colla_9,2,1,1,4,0
178,A,Colla_9,4,0,0,2,1
179,A,Colla_9,2,2,1,4,0
180,A,Colla_9,2,2,1,4,0
181,A,Colla_10,2,1,0,2,2
182,A,Colla_10,4,0,0,2,1
183,A,Colla_10,4,0,0,2,1
184,A,Colla_10,2,2,1,4,0
185,A,Colla_10,2,2,1,4,0
186,A,Colla_10,2,1,1,4,0
187,A,Colla_10,4,0,0,2,1
188,A,Colla_10,4,0,0,2,1
189,A,Colla_10,2,2,1,4,0
190,A,Colla_10,2,1,0,2,2
191,A,Colla_10,2,1,0,2,2
192,A,Colla_10,2,1,1,4,0
193,A,Colla_10,2,1,0,2,2
194,A,Colla_10,4,0,0,2,1
195,A,Colla_10,4,0,0,2,1
196,A,Colla_10,4,0,0,2,1
197,A,Colla_10,2,2,1,4,0
198,A,Colla_10,2,1,1,4,0
199,A,Colla_10,4,0,0,2,1
200,A,Colla_10,2,1,1,4,0
201,A,Colla_11,4,0,0,2,1
202,A,Colla_11,2,2,1,4,0
203,A,Colla_11,2,1,0,2,2
204,A,Colla_11,4,0,0,2,1
205,A,Colla_11,2,2,1,4,0
206,A,Colla_11,2,1,1,4,0
207,A,Colla_11,2,1,1,4,0
208,A,Colla_11,2,1,1,4,0
209,A,Colla_11,4,0,0,2,1
210,A,Colla_11,2,1,1,4,0
211,A,Colla_11,4,0,0,2,1
212,A,Colla_11,4,0,0,2,1
213,A,Colla_11,4,0,0,2,1
214,A,Colla_11,2,1,0,2,2
215,A,Colla_11,2,2,1,4,0
216,A,Colla_11,2,1,0,2,2
217,A,Colla_11,4,0,0,2,1
218,A,Colla_11,2,1,0,2,2
219,A,Colla_11,4,0,0,2,1
220,A,Colla_11,2,2,1,4,0
221,A,Colla_12,4,0,0,2,1
222,A,Colla_12,2,2,1,4,0
223,A,Colla_12,2,1,0,2,2
224,A,Colla_12,2,1,1,4,0
225,A,Colla_12,2,1,1,4,0
226,A,Colla_12,4,0,0,2,1
227,A,Colla_12,2,1,1,4,0
228,A,Colla_12,2,1,1,4,0
229,A,Colla_12,4,0,0,2,1
230,A,Colla_12,4,0,0,2,1
231,A,Colla_12,4,0,0,2,1
232,A,Colla_12,2,1,0,2,2
233,A,Colla_12,2,2,1,4,0
234,A,Colla_12,2,2,1,4,0
235,A,Colla_12,2,1,0,2,2
236,A,Colla_12,2,2,1,4,0
237,A,Colla_12,4,0,0,2,1
238,A,Colla_12,2,1,0,2,2
239,A,Colla_12,4,0,0,2,1
240,A,Colla_12,4,0,0,2,1
241,A,Colla_13,4,0,0,2,1
242,A,Colla_13,4,0,0,2,1
243,A,Colla_13,2,1,1,4,0
244,A,Colla_13,2,1,1,4,0
245,A,Colla_13,4,0,0,2,1
246,A,Colla_13,4,0,0,2,1
247,A,Colla_13,2,1,0,2,2
248,A,Colla_13,2,2,1,4,0
249,A,Colla_13,2,2,1,4,0
250,A,Colla_13,2,1,0,2,2
251,A,Colla_13,4,0,0,2,1
252,A,Colla_13,2,1,0,2,2
253,A,Colla_13,2,2,1,4,0
254,A,Colla_13,2,1,1,4,0
255,A,Colla_13,4,0,0,2,1
256,A,Colla_13,4,0,0,2,1
257,A,Colla_13,2,2,1,4,0
258,A,Colla_13,4,0,0,2,1
259,A,Colla_13,2,1,0,2,2
260,A,Colla_13,2,1,1,4,0
261,A,Colla_14,2,1,1,4,0
262,A,Colla_14,4,0,0,2,1
263,A,Colla_14,4,0,0,2,1
264,A,Colla_14,2,1,0,2,2
265,A,Colla_14,2,1,0,2,2
266,A,Colla_14,4,0,0,2,1
267,A,Colla_14,2,2,1,4,0
268,A,Colla_14,2,1,1,4,0
269,A,Colla_14,2,1,0,2,2
270,A,Colla_14,2,2,1,4,0
271,A,Colla_14,4,0,0,2,1
