ID,Modalitat,Colla_ID,Prioritat,anys_sense_captura,adjudicats,nova_prioritat,nou_anys_sense_captura
1,A,Colla_1,4,0,0,2,1
2,A,Colla_1,2,1,1,4,0
3,A,Colla_1,2,1,0,2,2
4,A,Colla_1,2,1,0,2,2
5,A,Colla_1,2,1,1,4,0
6,A,Colla_1,2,2,1,4,0
7,A,Colla_1,2,2,1,4,0
8,A,Colla_1,2,1,0,2,2
9,A,Colla_1,2,1,1,4,0
10,A,Colla_1,4,0,0,2,1
11,A,Colla_1,2,1,1,4,0
12,A,Colla_1,4,0,0,2,1
13,A,Colla_1,4,0,0,2,1
14,A,Colla_1,4,0,0,2,1
15,A,Colla_1,2,2,1,4,0
16,A,Colla_1,2,1,0,2,2
17,A,Colla_1,2,2,1,4,0
18,A,Colla_1,4,0,0,2,1
19,A,Colla_1,4,0,0,2,1
20,A,Colla_1,4,0,0,2,1
21,A,Colla_2,4,0,0,2,1
22,A,Colla_2,2,1,0,2,2
23,A,Colla_2,4,0,0,2,1
24,A,Colla_2,4,0,0,2,1
25,A,Colla_2,4,0,0,2,1
26,A,Colla_2,2,2,1,4,0
27,A,Colla_2,4,0,0,2,1
28,A,Colla_2,4,0,0,2,1
29,A,Colla_2,2,1,0,2,2
30,A,Colla_2,4,0,0,2,1
31,A,Colla_2,2,1,0,2,2
32,A,Colla_2,2,1,1,4,0
33,A,Colla_2,2,1,1,4,0
34,A,Colla_2,2,1,1,4,0
35,A,Colla_2,4,0,0,2,1
36,A,Colla_2,2,1,1,4,0
37,A,Colla_2,2,1,0,2,2
38,A,Colla_2,2,2,1,4,0
39,A,Colla_2,2,2,1,4,0
40,A,Colla_2,2,2,1,4,0
41,A,Colla_3,4,0,0,2,1
42,A,Colla_3,2,1,0,2,2
43,A,Colla_3,2,1,1,4,0
44,A,Colla_3,2,1,1,4,0
45,A,Colla_3,4,0,0,2,1
46,A,Colla_3,2,2,1,4,0
47,A,Colla_3,4,0,0,2,1
48,A,Colla_3,4,0,0,2,1
49,A,Colla_3,2,1,0,2,2
50,A,Colla_3,4,0,0,2,1
51,A,Colla_3,4,0,0,2,1
52,A,Colla_3,2,2,1,4,0
53,A,Colla_3,2,2,1,4,0
54,A,Colla_3,2,1,1,4,0
55,A,Colla_3,2,2,1,4,0
56,A,Colla_3,2,1,1,4,0
57,A,Colla_3,4,0,0,2,1
58,A,Colla_3,2,1,0,2,2
59,A,Colla_3,4,0,0,2,1
60,A,Colla_3,2,1,0,2,2
61,A,Colla_4,2,2,1,4,0
62,A,Colla_4,2,1,1,4,0
63,A,Colla_4,2,1,0,2,2
64,A,Colla_4,4,0,0,2,1
65,A,Colla_4,2,1,1,4,0
66,A,Colla_4,4,0,0,2,1
67,A,Colla_4,4,0,0,2,1
68,A,Colla_4,4,0,0,2,1
69,A,Colla_4,4,0,0,2,1
70,A,Colla_4,4,0,0,2,1
71,A,Colla_4,2,2,1,4,0
72,A,Colla_4,2,2,1,4,0
73,A,Colla_4,2,1,0,2,2
74,A,Colla_4,2,2,1,4,0
75,A,Colla_4,2,1,0,2,2
76,A,Colla_4,2,1,1,4,0
77,A,Colla_4,2,1,1,4,0
78,A,Colla_4,4,0,0,2,1
79,A,Colla_4,2,1,0,2,2
80,A,Colla_4,4,0,0,2,1
81,A,Colla_5,2,2,1,4,0
82,A,Colla_5,2,1,1,4,0
83,A,Colla_5,4,0,0,2,1
84,A,Colla_5,4,0,0,2,1
85,A,Colla_5,2,1,1,4,0
86,A,Colla_5,2,2,1,4,0
87,A,Colla_5,2,1,0,2,2
88,A,Colla_5,4,0,0,2,1
89,A,Colla_5,4,0,0,2,1
90,A,Colla_5,2,2,1,4,0
91,A,Colla_5,4,0,0,2,1
92,A,Colla_5,2,1,1,4,0
93,A,Colla_5,2,1,0,2,2
94,A,Colla_5,4,0,0,2,1
95,A,Colla_5,2,2,1,4,0
96,A,Colla_5,4,0,0,2,1
97,A,Colla_5,2,1,0,2,2
98,A,Colla_5,4,0,0,2,1
99,A,Colla_5,2,1,1,4,0
100,A,Colla_5,2,1,0,2,2
101,A,Colla_6,2,1,0,2,2
102,A,Colla_6,2,2,1,4,0
